GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
4285,0.0,-0.0,0.0,0.0,-0.0,-0.0,-41.32,-17.28,0.0,0.0,18.35,-40.6,73.31,-58.61,51.05,-7.55
4336,0.0,-0.0,0.0,-0.0,0.0,0.0,-47.23,-18.67,-0.0,-0.0,22.26,-41.61,74.93,-65.9,55.58,-10.32
4387,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-55.8,13.15,-0.0,-0.0,0.61,-42.34,76.55,-42.65,34.82,-7.83
4438,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-52.32,-14.62,0.0,0.0,20.21,-43.98,78.28,-66.94,54.51,-12.43
4489,0.0,0.0,-0.0,0.0,-0.0,0.0,-49.65,-4.59,0.0,0.0,11.84,-41.4,76.28,-54.24,46.72,-7.52
4540,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-54.44,-8.43,-0.0,0.0,12.57,-46.06,74.66,-62.87,41.16,-21.71
4591,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-40.62,-16.8,0.0,-0.0,17.66,-42.82,74.4,-57.42,49.25,-8.17
4642,0.0,-0.0,0.0,-0.0,0.0,-0.0,-47.67,-14.26,0.0,0.0,14.75,-42.7,74.69,-61.94,46.74,-15.2
4693,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-45.94,-12.09,0.0,0.0,15.3,-44.64,76.04,-58.03,46.71,-11.32
4744,0.0,-0.0,-0.0,0.0,-0.0,0.0,-46.58,-17.06,-0.0,0.0,17.33,-42.04,75.89,-63.64,51.18,-12.46
4795,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-39.51,-16.5,-0.0,0.0,16.07,-40.93,74.07,-56.02,49.2,-6.81
4846,0.0,0.0,0.0,0.0,0.0,0.0,-46.54,-18.03,-0.0,-0.0,15.75,-43.34,75.44,-64.57,47.84,-16.73
4897,0.0,-0.0,0.0,0.0,-0.0,0.0,-44.31,-16.87,0.0,-0.0,15.04,-41.05,71.58,-61.18,45.57,-15.61
4948,0.0,-0.0,0.0,0.0,0.0,0.0,-45.9,-16.98,-0.0,0.0,17.01,-45.36,75.72,-62.88,47.37,-15.51
4999,0.0,0.0,0.0,0.0,-0.0,-0.0,-50.83,-20.64,-0.0,0.0,21.13,-45.46,78.37,-71.47,54.04,-17.43
